resp,loom,fishID,cond,ISI,speed
1,1,fish1_f20,f20,20ISI,fast
0,2,fish1_f20,f20,20ISI,fast
1,3,fish1_f20,f20,20ISI,fast
0,4,fish1_f20,f20,20ISI,fast
1,5,fish1_f20,f20,20ISI,fast
0,6,fish1_f20,f20,20ISI,fast
0,7,fish1_f20,f20,20ISI,fast
1,8,fish1_f20,f20,20ISI,fast
0,9,fish1_f20,f20,20ISI,fast
0,10,fish1_f20,f20,20ISI,fast
1,1,fish2_f20,f20,20ISI,fast
1,2,fish2_f20,f20,20ISI,fast
1,3,fish2_f20,f20,20ISI,fast
1,4,fish2_f20,f20,20ISI,fast
1,5,fish2_f20,f20,20ISI,fast
1,6,fish2_f20,f20,20ISI,fast
0,7,fish2_f20,f20,20ISI,fast
1,8,fish2_f20,f20,20ISI,fast
1,9,fish2_f20,f20,20ISI,fast
1,10,fish2_f20,f20,20ISI,fast
1,1,fish3_f20,f20,20ISI,fast
0,2,fish3_f20,f20,20ISI,fast
0,3,fish3_f20,f20,20ISI,fast
0,4,fish3_f20,f20,20ISI,fast
0,5,fish3_f20,f20,20ISI,fast
0,6,fish3_f20,f20,20ISI,fast
1,7,fish3_f20,f20,20ISI,fast
0,8,fish3_f20,f20,20ISI,fast
1,9,fish3_f20,f20,20ISI,fast
0,10,fish3_f20,f20,20ISI,fast
1,1,fish4_f20,f20,20ISI,fast
1,2,fish4_f20,f20,20ISI,fast
1,3,fish4_f20,f20,20ISI,fast
1,4,fish4_f20,f20,20ISI,fast
0,5,fish4_f20,f20,20ISI,fast
1,6,fish4_f20,f20,20ISI,fast
1,7,fish4_f20,f20,20ISI,fast
0,8,fish4_f20,f20,20ISI,fast
1,9,fish4_f20,f20,20ISI,fast
1,10,fish4_f20,f20,20ISI,fast
1,1,fish5_f20,f20,20ISI,fast
1,2,fish5_f20,f20,20ISI,fast
0,3,fish5_f20,f20,20ISI,fast
1,4,fish5_f20,f20,20ISI,fast
0,5,fish5_f20,f20,20ISI,fast
0,6,fish5_f20,f20,20ISI,fast
1,7,fish5_f20,f20,20ISI,fast
0,8,fish5_f20,f20,20ISI,fast
0,9,fish5_f20,f20,20ISI,fast
0,10,fish5_f20,f20,20ISI,fast
1,1,fish6_f20,f20,20ISI,fast
1,2,fish6_f20,f20,20ISI,fast
1,3,fish6_f20,f20,20ISI,fast
1,4,fish6_f20,f20,20ISI,fast
1,5,fish6_f20,f20,20ISI,fast
1,6,fish6_f20,f20,20ISI,fast
1,7,fish6_f20,f20,20ISI,fast
0,8,fish6_f20,f20,20ISI,fast
1,9,fish6_f20,f20,20ISI,fast
1,10,fish6_f20,f20,20ISI,fast
1,1,fish7_f20,f20,20ISI,fast
1,2,fish7_f20,f20,20ISI,fast
0,3,fish7_f20,f20,20ISI,fast
0,4,fish7_f20,f20,20ISI,fast
1,5,fish7_f20,f20,20ISI,fast
0,6,fish7_f20,f20,20ISI,fast
1,7,fish7_f20,f20,20ISI,fast
1,8,fish7_f20,f20,20ISI,fast
0,9,fish7_f20,f20,20ISI,fast
0,10,fish7_f20,f20,20ISI,fast
1,1,fish8_f20,f20,20ISI,fast
1,2,fish8_f20,f20,20ISI,fast
1,3,fish8_f20,f20,20ISI,fast
1,4,fish8_f20,f20,20ISI,fast
1,5,fish8_f20,f20,20ISI,fast
0,6,fish8_f20,f20,20ISI,fast
1,7,fish8_f20,f20,20ISI,fast
0,8,fish8_f20,f20,20ISI,fast
0,9,fish8_f20,f20,20ISI,fast
0,10,fish8_f20,f20,20ISI,fast
1,1,fish9_f20,f20,20ISI,fast
0,2,fish9_f20,f20,20ISI,fast
1,3,fish9_f20,f20,20ISI,fast
1,4,fish9_f20,f20,20ISI,fast
0,5,fish9_f20,f20,20ISI,fast
1,6,fish9_f20,f20,20ISI,fast
1,7,fish9_f20,f20,20ISI,fast
0,8,fish9_f20,f20,20ISI,fast
1,9,fish9_f20,f20,20ISI,fast
0,10,fish9_f20,f20,20ISI,fast
1,1,fish10_f20,f20,20ISI,fast
1,2,fish10_f20,f20,20ISI,fast
1,3,fish10_f20,f20,20ISI,fast
1,4,fish10_f20,f20,20ISI,fast
1,5,fish10_f20,f20,20ISI,fast
1,6,fish10_f20,f20,20ISI,fast
1,7,fish10_f20,f20,20ISI,fast
1,8,fish10_f20,f20,20ISI,fast
0,9,fish10_f20,f20,20ISI,fast
1,10,fish10_f20,f20,20ISI,fast
1,1,fish11_f20,f20,20ISI,fast
1,2,fish11_f20,f20,20ISI,fast
1,3,fish11_f20,f20,20ISI,fast
1,4,fish11_f20,f20,20ISI,fast
1,5,fish11_f20,f20,20ISI,fast
1,6,fish11_f20,f20,20ISI,fast
0,7,fish11_f20,f20,20ISI,fast
1,8,fish11_f20,f20,20ISI,fast
0,9,fish11_f20,f20,20ISI,fast
1,10,fish11_f20,f20,20ISI,fast
1,1,fish12_f20,f20,20ISI,fast
1,2,fish12_f20,f20,20ISI,fast
1,3,fish12_f20,f20,20ISI,fast
1,4,fish12_f20,f20,20ISI,fast
0,5,fish12_f20,f20,20ISI,fast
1,6,fish12_f20,f20,20ISI,fast
0,7,fish12_f20,f20,20ISI,fast
0,8,fish12_f20,f20,20ISI,fast
0,9,fish12_f20,f20,20ISI,fast
1,10,fish12_f20,f20,20ISI,fast
1,1,fish13_f20,f20,20ISI,fast
0,2,fish13_f20,f20,20ISI,fast
0,3,fish13_f20,f20,20ISI,fast
0,4,fish13_f20,f20,20ISI,fast
0,5,fish13_f20,f20,20ISI,fast
1,6,fish13_f20,f20,20ISI,fast
0,7,fish13_f20,f20,20ISI,fast
0,8,fish13_f20,f20,20ISI,fast
0,9,fish13_f20,f20,20ISI,fast
0,10,fish13_f20,f20,20ISI,fast
1,1,fish14_f20,f20,20ISI,fast
1,2,fish14_f20,f20,20ISI,fast
1,3,fish14_f20,f20,20ISI,fast
1,4,fish14_f20,f20,20ISI,fast
1,5,fish14_f20,f20,20ISI,fast
1,6,fish14_f20,f20,20ISI,fast
0,7,fish14_f20,f20,20ISI,fast
0,8,fish14_f20,f20,20ISI,fast
0,9,fish14_f20,f20,20ISI,fast
0,10,fish14_f20,f20,20ISI,fast
1,1,fish15_f20,f20,20ISI,fast
1,2,fish15_f20,f20,20ISI,fast
1,3,fish15_f20,f20,20ISI,fast
1,4,fish15_f20,f20,20ISI,fast
1,5,fish15_f20,f20,20ISI,fast
1,6,fish15_f20,f20,20ISI,fast
1,7,fish15_f20,f20,20ISI,fast
1,8,fish15_f20,f20,20ISI,fast
1,9,fish15_f20,f20,20ISI,fast
1,10,fish15_f20,f20,20ISI,fast
1,1,fish16_f20,f20,20ISI,fast
1,2,fish16_f20,f20,20ISI,fast
1,3,fish16_f20,f20,20ISI,fast
1,4,fish16_f20,f20,20ISI,fast
1,5,fish16_f20,f20,20ISI,fast
1,6,fish16_f20,f20,20ISI,fast
1,7,fish16_f20,f20,20ISI,fast
0,8,fish16_f20,f20,20ISI,fast
1,9,fish16_f20,f20,20ISI,fast
0,10,fish16_f20,f20,20ISI,fast
1,1,fish17_f20,f20,20ISI,fast
0,2,fish17_f20,f20,20ISI,fast
0,3,fish17_f20,f20,20ISI,fast
0,4,fish17_f20,f20,20ISI,fast
0,5,fish17_f20,f20,20ISI,fast
0,6,fish17_f20,f20,20ISI,fast
1,7,fish17_f20,f20,20ISI,fast
0,8,fish17_f20,f20,20ISI,fast
0,9,fish17_f20,f20,20ISI,fast
0,10,fish17_f20,f20,20ISI,fast
1,1,fish18_f20,f20,20ISI,fast
1,2,fish18_f20,f20,20ISI,fast
1,3,fish18_f20,f20,20ISI,fast
1,4,fish18_f20,f20,20ISI,fast
1,5,fish18_f20,f20,20ISI,fast
1,6,fish18_f20,f20,20ISI,fast
1,7,fish18_f20,f20,20ISI,fast
1,8,fish18_f20,f20,20ISI,fast
1,9,fish18_f20,f20,20ISI,fast
1,10,fish18_f20,f20,20ISI,fast
1,1,fish19_f20,f20,20ISI,fast
0,2,fish19_f20,f20,20ISI,fast
1,3,fish19_f20,f20,20ISI,fast
0,4,fish19_f20,f20,20ISI,fast
0,5,fish19_f20,f20,20ISI,fast
0,6,fish19_f20,f20,20ISI,fast
0,7,fish19_f20,f20,20ISI,fast
1,8,fish19_f20,f20,20ISI,fast
0,9,fish19_f20,f20,20ISI,fast
0,10,fish19_f20,f20,20ISI,fast
1,1,fish20_f20,f20,20ISI,fast
1,2,fish20_f20,f20,20ISI,fast
0,3,fish20_f20,f20,20ISI,fast
1,4,fish20_f20,f20,20ISI,fast
1,5,fish20_f20,f20,20ISI,fast
0,6,fish20_f20,f20,20ISI,fast
1,7,fish20_f20,f20,20ISI,fast
1,8,fish20_f20,f20,20ISI,fast
1,9,fish20_f20,f20,20ISI,fast
1,10,fish20_f20,f20,20ISI,fast
1,1,fish21_f20,f20,20ISI,fast
0,2,fish21_f20,f20,20ISI,fast
0,3,fish21_f20,f20,20ISI,fast
1,4,fish21_f20,f20,20ISI,fast
0,5,fish21_f20,f20,20ISI,fast
1,6,fish21_f20,f20,20ISI,fast
0,7,fish21_f20,f20,20ISI,fast
0,8,fish21_f20,f20,20ISI,fast
1,9,fish21_f20,f20,20ISI,fast
1,10,fish21_f20,f20,20ISI,fast
1,1,fish22_f20,f20,20ISI,fast
1,2,fish22_f20,f20,20ISI,fast
1,3,fish22_f20,f20,20ISI,fast
1,4,fish22_f20,f20,20ISI,fast
1,5,fish22_f20,f20,20ISI,fast
1,6,fish22_f20,f20,20ISI,fast
0,7,fish22_f20,f20,20ISI,fast
0,8,fish22_f20,f20,20ISI,fast
0,9,fish22_f20,f20,20ISI,fast
1,10,fish22_f20,f20,20ISI,fast
1,1,fish23_f20,f20,20ISI,fast
1,2,fish23_f20,f20,20ISI,fast
1,3,fish23_f20,f20,20ISI,fast
0,4,fish23_f20,f20,20ISI,fast
0,5,fish23_f20,f20,20ISI,fast
1,6,fish23_f20,f20,20ISI,fast
0,7,fish23_f20,f20,20ISI,fast
0,8,fish23_f20,f20,20ISI,fast
1,9,fish23_f20,f20,20ISI,fast
0,10,fish23_f20,f20,20ISI,fast
1,1,fish24_f20,f20,20ISI,fast
1,2,fish24_f20,f20,20ISI,fast
0,3,fish24_f20,f20,20ISI,fast
1,4,fish24_f20,f20,20ISI,fast
1,5,fish24_f20,f20,20ISI,fast
1,6,fish24_f20,f20,20ISI,fast
1,7,fish24_f20,f20,20ISI,fast
1,8,fish24_f20,f20,20ISI,fast
1,9,fish24_f20,f20,20ISI,fast
1,10,fish24_f20,f20,20ISI,fast
0,1,fish25_f20,f20,20ISI,fast
0,2,fish25_f20,f20,20ISI,fast
0,3,fish25_f20,f20,20ISI,fast
0,4,fish25_f20,f20,20ISI,fast
1,5,fish25_f20,f20,20ISI,fast
0,6,fish25_f20,f20,20ISI,fast
0,7,fish25_f20,f20,20ISI,fast
0,8,fish25_f20,f20,20ISI,fast
1,9,fish25_f20,f20,20ISI,fast
0,10,fish25_f20,f20,20ISI,fast
1,1,fish26_f20,f20,20ISI,fast
1,2,fish26_f20,f20,20ISI,fast
1,3,fish26_f20,f20,20ISI,fast
1,4,fish26_f20,f20,20ISI,fast
0,5,fish26_f20,f20,20ISI,fast
1,6,fish26_f20,f20,20ISI,fast
1,7,fish26_f20,f20,20ISI,fast
1,8,fish26_f20,f20,20ISI,fast
0,9,fish26_f20,f20,20ISI,fast
0,10,fish26_f20,f20,20ISI,fast
1,1,fish27_f20,f20,20ISI,fast
0,2,fish27_f20,f20,20ISI,fast
1,3,fish27_f20,f20,20ISI,fast
0,4,fish27_f20,f20,20ISI,fast
1,5,fish27_f20,f20,20ISI,fast
0,6,fish27_f20,f20,20ISI,fast
1,7,fish27_f20,f20,20ISI,fast
0,8,fish27_f20,f20,20ISI,fast
0,9,fish27_f20,f20,20ISI,fast
0,10,fish27_f20,f20,20ISI,fast
1,1,fish28_f20,f20,20ISI,fast
1,2,fish28_f20,f20,20ISI,fast
1,3,fish28_f20,f20,20ISI,fast
0,4,fish28_f20,f20,20ISI,fast
0,5,fish28_f20,f20,20ISI,fast
1,6,fish28_f20,f20,20ISI,fast
1,7,fish28_f20,f20,20ISI,fast
1,8,fish28_f20,f20,20ISI,fast
0,9,fish28_f20,f20,20ISI,fast
0,10,fish28_f20,f20,20ISI,fast
1,1,fish29_f20,f20,20ISI,fast
0,2,fish29_f20,f20,20ISI,fast
1,3,fish29_f20,f20,20ISI,fast
0,4,fish29_f20,f20,20ISI,fast
0,5,fish29_f20,f20,20ISI,fast
0,6,fish29_f20,f20,20ISI,fast
1,7,fish29_f20,f20,20ISI,fast
1,8,fish29_f20,f20,20ISI,fast
0,9,fish29_f20,f20,20ISI,fast
0,10,fish29_f20,f20,20ISI,fast
1,1,fish30_f20,f20,20ISI,fast
1,2,fish30_f20,f20,20ISI,fast
1,3,fish30_f20,f20,20ISI,fast
1,4,fish30_f20,f20,20ISI,fast
1,5,fish30_f20,f20,20ISI,fast
1,6,fish30_f20,f20,20ISI,fast
0,7,fish30_f20,f20,20ISI,fast
1,8,fish30_f20,f20,20ISI,fast
1,9,fish30_f20,f20,20ISI,fast
1,10,fish30_f20,f20,20ISI,fast
1,1,fish31_f20,f20,20ISI,fast
1,2,fish31_f20,f20,20ISI,fast
0,3,fish31_f20,f20,20ISI,fast
1,4,fish31_f20,f20,20ISI,fast
0,5,fish31_f20,f20,20ISI,fast
1,6,fish31_f20,f20,20ISI,fast
0,7,fish31_f20,f20,20ISI,fast
0,8,fish31_f20,f20,20ISI,fast
0,9,fish31_f20,f20,20ISI,fast
0,10,fish31_f20,f20,20ISI,fast
1,1,fish32_f20,f20,20ISI,fast
1,2,fish32_f20,f20,20ISI,fast
1,3,fish32_f20,f20,20ISI,fast
1,4,fish32_f20,f20,20ISI,fast
1,5,fish32_f20,f20,20ISI,fast
1,6,fish32_f20,f20,20ISI,fast
1,7,fish32_f20,f20,20ISI,fast
1,8,fish32_f20,f20,20ISI,fast
0,9,fish32_f20,f20,20ISI,fast
0,10,fish32_f20,f20,20ISI,fast
1,1,fish33_f20,f20,20ISI,fast
0,2,fish33_f20,f20,20ISI,fast
1,3,fish33_f20,f20,20ISI,fast
0,4,fish33_f20,f20,20ISI,fast
1,5,fish33_f20,f20,20ISI,fast
1,6,fish33_f20,f20,20ISI,fast
0,7,fish33_f20,f20,20ISI,fast
0,8,fish33_f20,f20,20ISI,fast
0,9,fish33_f20,f20,20ISI,fast
0,10,fish33_f20,f20,20ISI,fast
1,1,fish34_f20,f20,20ISI,fast
0,2,fish34_f20,f20,20ISI,fast
1,3,fish34_f20,f20,20ISI,fast
0,4,fish34_f20,f20,20ISI,fast
0,5,fish34_f20,f20,20ISI,fast
1,6,fish34_f20,f20,20ISI,fast
1,7,fish34_f20,f20,20ISI,fast
1,8,fish34_f20,f20,20ISI,fast
1,9,fish34_f20,f20,20ISI,fast
1,10,fish34_f20,f20,20ISI,fast
1,1,fish35_f20,f20,20ISI,fast
1,2,fish35_f20,f20,20ISI,fast
1,3,fish35_f20,f20,20ISI,fast
1,4,fish35_f20,f20,20ISI,fast
1,5,fish35_f20,f20,20ISI,fast
0,6,fish35_f20,f20,20ISI,fast
1,7,fish35_f20,f20,20ISI,fast
1,8,fish35_f20,f20,20ISI,fast
1,9,fish35_f20,f20,20ISI,fast
1,10,fish35_f20,f20,20ISI,fast
0,1,fish36_f20,f20,20ISI,fast
1,2,fish36_f20,f20,20ISI,fast
1,3,fish36_f20,f20,20ISI,fast
1,4,fish36_f20,f20,20ISI,fast
1,5,fish36_f20,f20,20ISI,fast
1,6,fish36_f20,f20,20ISI,fast
1,7,fish36_f20,f20,20ISI,fast
1,8,fish36_f20,f20,20ISI,fast
1,9,fish36_f20,f20,20ISI,fast
1,10,fish36_f20,f20,20ISI,fast
1,1,fish1_f60,f60,60ISI,fast
0,2,fish1_f60,f60,60ISI,fast
0,3,fish1_f60,f60,60ISI,fast
0,4,fish1_f60,f60,60ISI,fast
0,5,fish1_f60,f60,60ISI,fast
0,6,fish1_f60,f60,60ISI,fast
0,7,fish1_f60,f60,60ISI,fast
0,8,fish1_f60,f60,60ISI,fast
1,9,fish1_f60,f60,60ISI,fast
0,10,fish1_f60,f60,60ISI,fast
1,1,fish2_f60,f60,60ISI,fast
0,2,fish2_f60,f60,60ISI,fast
0,3,fish2_f60,f60,60ISI,fast
0,4,fish2_f60,f60,60ISI,fast
0,5,fish2_f60,f60,60ISI,fast
0,6,fish2_f60,f60,60ISI,fast
0,7,fish2_f60,f60,60ISI,fast
0,8,fish2_f60,f60,60ISI,fast
0,9,fish2_f60,f60,60ISI,fast
0,10,fish2_f60,f60,60ISI,fast
1,1,fish3_f60,f60,60ISI,fast
0,2,fish3_f60,f60,60ISI,fast
0,3,fish3_f60,f60,60ISI,fast
0,4,fish3_f60,f60,60ISI,fast
0,5,fish3_f60,f60,60ISI,fast
0,6,fish3_f60,f60,60ISI,fast
0,7,fish3_f60,f60,60ISI,fast
0,8,fish3_f60,f60,60ISI,fast
0,9,fish3_f60,f60,60ISI,fast
0,10,fish3_f60,f60,60ISI,fast
1,1,fish4_f60,f60,60ISI,fast
0,2,fish4_f60,f60,60ISI,fast
0,3,fish4_f60,f60,60ISI,fast
1,4,fish4_f60,f60,60ISI,fast
0,5,fish4_f60,f60,60ISI,fast
0,6,fish4_f60,f60,60ISI,fast
0,7,fish4_f60,f60,60ISI,fast
0,8,fish4_f60,f60,60ISI,fast
0,9,fish4_f60,f60,60ISI,fast
0,10,fish4_f60,f60,60ISI,fast
1,1,fish5_f60,f60,60ISI,fast
0,2,fish5_f60,f60,60ISI,fast
