resp,stimulus,fishID,cond
1,1,fish1_Loom,Loom
1,2,fish1_Loom,Loom
1,3,fish1_Loom,Loom
1,4,fish1_Loom,Loom
0,5,fish1_Loom,Loom
0,6,fish1_Loom,Loom
0,7,fish1_Loom,Loom
0,8,fish1_Loom,Loom
0,9,fish1_Loom,Loom
0,10,fish1_Loom,Loom
0,11,fish1_Loom,Loom
0,12,fish1_Loom,Loom
0,13,fish1_Loom,Loom
0,14,fish1_Loom,Loom
0,15,fish1_Loom,Loom
0,16,fish1_Loom,Loom
0,17,fish1_Loom,Loom
0,18,fish1_Loom,Loom
0,19,fish1_Loom,Loom
0,20,fish1_Loom,Loom
1,1,fish2_Loom,Loom
0,2,fish2_Loom,Loom
0,3,fish2_Loom,Loom
0,4,fish2_Loom,Loom
0,5,fish2_Loom,Loom
0,6,fish2_Loom,Loom
0,7,fish2_Loom,Loom
0,8,fish2_Loom,Loom
0,9,fish2_Loom,Loom
0,10,fish2_Loom,Loom
0,11,fish2_Loom,Loom
0,12,fish2_Loom,Loom
0,13,fish2_Loom,Loom
0,14,fish2_Loom,Loom
0,15,fish2_Loom,Loom
0,16,fish2_Loom,Loom
0,17,fish2_Loom,Loom
0,18,fish2_Loom,Loom
0,19,fish2_Loom,Loom
0,20,fish2_Loom,Loom
1,1,fish3_Loom,Loom
0,2,fish3_Loom,Loom
0,3,fish3_Loom,Loom
1,4,fish3_Loom,Loom
0,5,fish3_Loom,Loom
1,6,fish3_Loom,Loom
1,7,fish3_Loom,Loom
1,8,fish3_Loom,Loom
0,9,fish3_Loom,Loom
0,10,fish3_Loom,Loom
0,11,fish3_Loom,Loom
0,12,fish3_Loom,Loom
0,13,fish3_Loom,Loom
0,14,fish3_Loom,Loom
0,15,fish3_Loom,Loom
0,16,fish3_Loom,Loom
0,17,fish3_Loom,Loom
0,18,fish3_Loom,Loom
0,19,fish3_Loom,Loom
0,20,fish3_Loom,Loom
0,1,fish4_Loom,Loom
0,2,fish4_Loom,Loom
0,3,fish4_Loom,Loom
0,4,fish4_Loom,Loom
0,5,fish4_Loom,Loom
0,6,fish4_Loom,Loom
0,7,fish4_Loom,Loom
0,8,fish4_Loom,Loom
0,9,fish4_Loom,Loom
0,10,fish4_Loom,Loom
1,11,fish4_Loom,Loom
1,12,fish4_Loom,Loom
1,13,fish4_Loom,Loom
0,14,fish4_Loom,Loom
0,15,fish4_Loom,Loom
0,16,fish4_Loom,Loom
0,17,fish4_Loom,Loom
0,18,fish4_Loom,Loom
0,19,fish4_Loom,Loom
0,20,fish4_Loom,Loom
0,1,fish5_Loom,Loom
0,2,fish5_Loom,Loom
0,3,fish5_Loom,Loom
1,4,fish5_Loom,Loom
0,5,fish5_Loom,Loom
0,6,fish5_Loom,Loom
0,7,fish5_Loom,Loom
0,8,fish5_Loom,Loom
1,9,fish5_Loom,Loom
0,10,fish5_Loom,Loom
0,11,fish5_Loom,Loom
0,12,fish5_Loom,Loom
0,13,fish5_Loom,Loom
0,14,fish5_Loom,Loom
0,15,fish5_Loom,Loom
0,16,fish5_Loom,Loom
0,17,fish5_Loom,Loom
1,18,fish5_Loom,Loom
0,19,fish5_Loom,Loom
0,20,fish5_Loom,Loom
1,1,fish6_Loom,Loom
0,2,fish6_Loom,Loom
0,3,fish6_Loom,Loom
0,4,fish6_Loom,Loom
0,5,fish6_Loom,Loom
0,6,fish6_Loom,Loom
0,7,fish6_Loom,Loom
0,8,fish6_Loom,Loom
0,9,fish6_Loom,Loom
0,10,fish6_Loom,Loom
0,11,fish6_Loom,Loom
0,12,fish6_Loom,Loom
0,13,fish6_Loom,Loom
0,14,fish6_Loom,Loom
0,15,fish6_Loom,Loom
0,16,fish6_Loom,Loom
0,17,fish6_Loom,Loom
0,18,fish6_Loom,Loom
0,19,fish6_Loom,Loom
0,20,fish6_Loom,Loom
0,1,fish7_Loom,Loom
0,2,fish7_Loom,Loom
0,3,fish7_Loom,Loom
0,4,fish7_Loom,Loom
0,5,fish7_Loom,Loom
0,6,fish7_Loom,Loom
1,7,fish7_Loom,Loom
0,8,fish7_Loom,Loom
0,9,fish7_Loom,Loom
0,10,fish7_Loom,Loom
0,11,fish7_Loom,Loom
0,12,fish7_Loom,Loom
0,13,fish7_Loom,Loom
0,14,fish7_Loom,Loom
0,15,fish7_Loom,Loom
0,16,fish7_Loom,Loom
0,17,fish7_Loom,Loom
0,18,fish7_Loom,Loom
0,19,fish7_Loom,Loom
0,20,fish7_Loom,Loom
1,1,fish8_Loom,Loom
0,2,fish8_Loom,Loom
1,3,fish8_Loom,Loom
1,4,fish8_Loom,Loom
0,5,fish8_Loom,Loom
0,6,fish8_Loom,Loom
0,7,fish8_Loom,Loom
0,8,fish8_Loom,Loom
0,9,fish8_Loom,Loom
0,10,fish8_Loom,Loom
0,11,fish8_Loom,Loom
0,12,fish8_Loom,Loom
0,13,fish8_Loom,Loom
0,14,fish8_Loom,Loom
0,15,fish8_Loom,Loom
