resp,loom,fishID,cond,ISI,speed
1,1,fish1_f20,f20,20ISI,fast
0.357575552,2,fish1_f20,f20,20ISI,fast
0.133727014,3,fish1_f20,f20,20ISI,fast
0.063582758,4,fish1_f20,f20,20ISI,fast
0.044188122,5,fish1_f20,f20,20ISI,fast
0.031413762,6,fish1_f20,f20,20ISI,fast
0.065514976,7,fish1_f20,f20,20ISI,fast
0.017070114,8,fish1_f20,f20,20ISI,fast
0.06159181,9,fish1_f20,f20,20ISI,fast
0.111883977,10,fish1_f20,f20,20ISI,fast
1,1,fish2_f20,f20,20ISI,fast
0.196203076,2,fish2_f20,f20,20ISI,fast
0.123382308,3,fish2_f20,f20,20ISI,fast
0.070692822,4,fish2_f20,f20,20ISI,fast
0.059984868,5,fish2_f20,f20,20ISI,fast
0.041383319,6,fish2_f20,f20,20ISI,fast
0.035527402,7,fish2_f20,f20,20ISI,fast
0.069066017,8,fish2_f20,f20,20ISI,fast
0.02653779,9,fish2_f20,f20,20ISI,fast
0.055636873,10,fish2_f20,f20,20ISI,fast
1,1,fish3_f20,f20,20ISI,fast
0.437032219,2,fish3_f20,f20,20ISI,fast
0.168760351,3,fish3_f20,f20,20ISI,fast
0.038821409,4,fish3_f20,f20,20ISI,fast
0.127892482,5,fish3_f20,f20,20ISI,fast
0.006783973,6,fish3_f20,f20,20ISI,fast
0.019001764,7,fish3_f20,f20,20ISI,fast
0.024558094,8,fish3_f20,f20,20ISI,fast
0.027906024,9,fish3_f20,f20,20ISI,fast
0.022014435,10,fish3_f20,f20,20ISI,fast
1,1,fish4_f20,f20,20ISI,fast
0.175981608,2,fish4_f20,f20,20ISI,fast
0.121358073,3,fish4_f20,f20,20ISI,fast
0.102274855,4,fish4_f20,f20,20ISI,fast
0.049965745,5,fish4_f20,f20,20ISI,fast
0.044020862,6,fish4_f20,f20,20ISI,fast
0.060079569,7,fish4_f20,f20,20ISI,fast
0.047947783,8,fish4_f20,f20,20ISI,fast
0.049235145,9,fish4_f20,f20,20ISI,fast
0.032161492,10,fish4_f20,f20,20ISI,fast
1,1,fish5_f20,f20,20ISI,fast
0.120078277,2,fish5_f20,f20,20ISI,fast
0.050572109,3,fish5_f20,f20,20ISI,fast
0.037710348,4,fish5_f20,f20,20ISI,fast
0.069457687,5,fish5_f20,f20,20ISI,fast
0.047074018,6,fish5_f20,f20,20ISI,fast
0.06454358,7,fish5_f20,f20,20ISI,fast
0.038855669,8,fish5_f20,f20,20ISI,fast
0.034048859,9,fish5_f20,f20,20ISI,fast
0.051182487,10,fish5_f20,f20,20ISI,fast
1,1,fish6_f20,f20,20ISI,fast
0.242133122,2,fish6_f20,f20,20ISI,fast
0.102073902,3,fish6_f20,f20,20ISI,fast
0.068750589,4,fish6_f20,f20,20ISI,fast
0.040738607,5,fish6_f20,f20,20ISI,fast
0.051560447,6,fish6_f20,f20,20ISI,fast
0.021229176,7,fish6_f20,f20,20ISI,fast
0.026592544,8,fish6_f20,f20,20ISI,fast
0.015908028,9,fish6_f20,f20,20ISI,fast
0.025882104,10,fish6_f20,f20,20ISI,fast
1,1,fish7_f20,f20,20ISI,fast
0.244926791,2,fish7_f20,f20,20ISI,fast
0.110844402,3,fish7_f20,f20,20ISI,fast
0.092033306,4,fish7_f20,f20,20ISI,fast
0.116945972,5,fish7_f20,f20,20ISI,fast
0.087960038,6,fish7_f20,f20,20ISI,fast
0.079988205,7,fish7_f20,f20,20ISI,fast
0.094693785,8,fish7_f20,f20,20ISI,fast
0.065515307,9,fish7_f20,f20,20ISI,fast
0.073723074,10,fish7_f20,f20,20ISI,fast
1,1,fish8_f20,f20,20ISI,fast
0.190089615,2,fish8_f20,f20,20ISI,fast
0.039436721,3,fish8_f20,f20,20ISI,fast
0.024976107,4,fish8_f20,f20,20ISI,fast
0.010712691,5,fish8_f20,f20,20ISI,fast
0.013447929,6,fish8_f20,f20,20ISI,fast
0.031224556,7,fish8_f20,f20,20ISI,fast
0.02118398,8,fish8_f20,f20,20ISI,fast
0.016547503,9,fish8_f20,f20,20ISI,fast
0.03304404,10,fish8_f20,f20,20ISI,fast
1,1,fish9_f20,f20,20ISI,fast
0.401293609,2,fish9_f20,f20,20ISI,fast
0.148448279,3,fish9_f20,f20,20ISI,fast
0.098351579,4,fish9_f20,f20,20ISI,fast
0.064049856,5,fish9_f20,f20,20ISI,fast
0.051750687,6,fish9_f20,f20,20ISI,fast
0.023824986,7,fish9_f20,f20,20ISI,fast
0.0273843,8,fish9_f20,f20,20ISI,fast
0.025347305,9,fish9_f20,f20,20ISI,fast
0.028376024,10,fish9_f20,f20,20ISI,fast
1,1,fish10_f20,f20,20ISI,fast
0.320555082,2,fish10_f20,f20,20ISI,fast
0.100972016,3,fish10_f20,f20,20ISI,fast
0.093464936,4,fish10_f20,f20,20ISI,fast
0.014099121,5,fish10_f20,f20,20ISI,fast
0.01274623,6,fish10_f20,f20,20ISI,fast
0.025074064,7,fish10_f20,f20,20ISI,fast
0.034332397,8,fish10_f20,f20,20ISI,fast
0.073406782,9,fish10_f20,f20,20ISI,fast
0.008211165,10,fish10_f20,f20,20ISI,fast
1,1,fish11_f20,f20,20ISI,fast
0.262462181,2,fish11_f20,f20,20ISI,fast
0.095031879,3,fish11_f20,f20,20ISI,fast
0.095353119,4,fish11_f20,f20,20ISI,fast
0.039640728,5,fish11_f20,f20,20ISI,fast
0.043074462,6,fish11_f20,f20,20ISI,fast
0.058076055,7,fish11_f20,f20,20ISI,fast
0.039335144,8,fish11_f20,f20,20ISI,fast
0.095108489,9,fish11_f20,f20,20ISI,fast
0.041377052,10,fish11_f20,f20,20ISI,fast
1,1,fish1_f60,f60,60ISI,fast
0.14245963,2,fish1_f60,f60,60ISI,fast
0.062131683,3,fish1_f60,f60,60ISI,fast
0.031594448,4,fish1_f60,f60,60ISI,fast
0.044328918,5,fish1_f60,f60,60ISI,fast
0.12758684,6,fish1_f60,f60,60ISI,fast
0.032223861,7,fish1_f60,f60,60ISI,fast
0.038177657,8,fish1_f60,f60,60ISI,fast
0.036427304,9,fish1_f60,f60,60ISI,fast
0.022867651,10,fish1_f60,f60,60ISI,fast
1,1,fish2_f60,f60,60ISI,fast
0.276404439,2,fish2_f60,f60,60ISI,fast
0.222683907,3,fish2_f60,f60,60ISI,fast
0.126077418,4,fish2_f60,f60,60ISI,fast
0.211495775,5,fish2_f60,f60,60ISI,fast
0.177508676,6,fish2_f60,f60,60ISI,fast
0.157788317,7,fish2_f60,f60,60ISI,fast
0.149091204,8,fish2_f60,f60,60ISI,fast
