resp,loom,fishID,cond,ISI,speed
0.127480276,1,fish1_f20,f20,20ISI,fast
0.019839888,2,fish1_f20,f20,20ISI,fast
0.023447166,3,fish1_f20,f20,20ISI,fast
0.023122423,4,fish1_f20,f20,20ISI,fast
0.109888455,5,fish1_f20,f20,20ISI,fast
0.005560369,6,fish1_f20,f20,20ISI,fast
0.008028363,7,fish1_f20,f20,20ISI,fast
0.026226376,8,fish1_f20,f20,20ISI,fast
0.075999046,9,fish1_f20,f20,20ISI,fast
0.014089611,10,fish1_f20,f20,20ISI,fast
0.139239101,1,fish2_f20,f20,20ISI,fast
0.043625428,2,fish2_f20,f20,20ISI,fast
0.061556963,3,fish2_f20,f20,20ISI,fast
0.036080465,4,fish2_f20,f20,20ISI,fast
0.027748151,5,fish2_f20,f20,20ISI,fast
0.024027881,6,fish2_f20,f20,20ISI,fast
0.035900548,7,fish2_f20,f20,20ISI,fast
0.016345421,8,fish2_f20,f20,20ISI,fast
0.023411218,9,fish2_f20,f20,20ISI,fast
0.018578967,10,fish2_f20,f20,20ISI,fast
0.195893876,1,fish3_f20,f20,20ISI,fast
0.0264113,2,fish3_f20,f20,20ISI,fast
0.021846622,3,fish3_f20,f20,20ISI,fast
0.01827069,4,fish3_f20,f20,20ISI,fast
0.014700418,5,fish3_f20,f20,20ISI,fast
0.012370313,6,fish3_f20,f20,20ISI,fast
0.027946727,7,fish3_f20,f20,20ISI,fast
0.048608393,8,fish3_f20,f20,20ISI,fast
0.053746014,9,fish3_f20,f20,20ISI,fast
0.009059874,10,fish3_f20,f20,20ISI,fast
0.08793719,1,fish4_f20,f20,20ISI,fast
0.03720617,2,fish4_f20,f20,20ISI,fast
0.073427973,3,fish4_f20,f20,20ISI,fast
0.028876244,4,fish4_f20,f20,20ISI,fast
0.049045755,5,fish4_f20,f20,20ISI,fast
0.040518033,6,fish4_f20,f20,20ISI,fast
0.071866188,7,fish4_f20,f20,20ISI,fast
0.025935399,8,fish4_f20,f20,20ISI,fast
0.077886972,9,fish4_f20,f20,20ISI,fast
0.007171407,10,fish4_f20,f20,20ISI,fast
0.361550437,1,fish5_f20,f20,20ISI,fast
0.069161605,2,fish5_f20,f20,20ISI,fast
0.027701129,3,fish5_f20,f20,20ISI,fast
0.050365776,4,fish5_f20,f20,20ISI,fast
0.04143636,5,fish5_f20,f20,20ISI,fast
0.03629894,6,fish5_f20,f20,20ISI,fast
0.038201254,7,fish5_f20,f20,20ISI,fast
0.029329537,8,fish5_f20,f20,20ISI,fast
0.068337875,9,fish5_f20,f20,20ISI,fast
0.014080142,10,fish5_f20,f20,20ISI,fast
0.047381727,1,fish6_f20,f20,20ISI,fast
0.019714697,2,fish6_f20,f20,20ISI,fast
0.019822578,3,fish6_f20,f20,20ISI,fast
0.019875687,4,fish6_f20,f20,20ISI,fast
0,5,fish6_f20,f20,20ISI,fast
0.041226312,6,fish6_f20,f20,20ISI,fast
0.010508326,7,fish6_f20,f20,20ISI,fast
0.007771338,8,fish6_f20,f20,20ISI,fast
0.019949532,9,fish6_f20,f20,20ISI,fast
0.009722362,10,fish6_f20,f20,20ISI,fast
0.121825229,1,fish7_f20,f20,20ISI,fast
0.016912628,2,fish7_f20,f20,20ISI,fast
0.078583254,3,fish7_f20,f20,20ISI,fast
0.042998304,4,fish7_f20,f20,20ISI,fast
0.005945321,5,fish7_f20,f20,20ISI,fast
0.078530841,6,fish7_f20,f20,20ISI,fast
0.066799154,7,fish7_f20,f20,20ISI,fast
0.054125917,8,fish7_f20,f20,20ISI,fast
0.022972976,9,fish7_f20,f20,20ISI,fast
0.024977744,10,fish7_f20,f20,20ISI,fast
0.048658183,1,fish8_f20,f20,20ISI,fast
0.036838994,2,fish8_f20,f20,20ISI,fast
0.0230745,3,fish8_f20,f20,20ISI,fast
0.0182899,4,fish8_f20,f20,20ISI,fast
0.015866241,5,fish8_f20,f20,20ISI,fast
0.021406118,6,fish8_f20,f20,20ISI,fast
0.103789594,7,fish8_f20,f20,20ISI,fast
0.016705615,8,fish8_f20,f20,20ISI,fast
0.017110089,9,fish8_f20,f20,20ISI,fast
0.025099942,10,fish8_f20,f20,20ISI,fast
0.111809732,1,fish9_f20,f20,20ISI,fast
0.019968454,2,fish9_f20,f20,20ISI,fast
0.015503876,3,fish9_f20,f20,20ISI,fast
0.013249884,4,fish9_f20,f20,20ISI,fast
0.028047498,5,fish9_f20,f20,20ISI,fast
0.029980013,6,fish9_f20,f20,20ISI,fast
0.007896621,7,fish9_f20,f20,20ISI,fast
0.013273758,8,fish9_f20,f20,20ISI,fast
0.103896904,9,fish9_f20,f20,20ISI,fast
0.001977265,10,fish9_f20,f20,20ISI,fast
0.196723912,1,fish10_f20,f20,20ISI,fast
0.015572256,2,fish10_f20,f20,20ISI,fast
0.018817847,3,fish10_f20,f20,20ISI,fast
0.032573947,4,fish10_f20,f20,20ISI,fast
0,5,fish10_f20,f20,20ISI,fast
0.022520702,6,fish10_f20,f20,20ISI,fast
0.022826808,7,fish10_f20,f20,20ISI,fast
0.078426506,8,fish10_f20,f20,20ISI,fast
0,9,fish10_f20,f20,20ISI,fast
0.009564081,10,fish10_f20,f20,20ISI,fast
0.147671229,1,fish11_f20,f20,20ISI,fast
0.045372401,2,fish11_f20,f20,20ISI,fast
