resp,loom,fishID,cond,ISI,speed
1,1,fish1_f20,f20,20ISI,fast
0.653819682,2,fish1_f20,f20,20ISI,fast
0.510221912,3,fish1_f20,f20,20ISI,fast
0.470664058,4,fish1_f20,f20,20ISI,fast
0.416541446,5,fish1_f20,f20,20ISI,fast
0.455533237,6,fish1_f20,f20,20ISI,fast
0.427206134,7,fish1_f20,f20,20ISI,fast
0.390732727,8,fish1_f20,f20,20ISI,fast
0.41193385,9,fish1_f20,f20,20ISI,fast
0.409803806,10,fish1_f20,f20,20ISI,fast
1,1,fish2_f20,f20,20ISI,fast
0.789368888,2,fish2_f20,f20,20ISI,fast
0.515739963,3,fish2_f20,f20,20ISI,fast
0.59809902,4,fish2_f20,f20,20ISI,fast
0.684627926,5,fish2_f20,f20,20ISI,fast
0.650614628,6,fish2_f20,f20,20ISI,fast
0.602980057,7,fish2_f20,f20,20ISI,fast
0.530240376,8,fish2_f20,f20,20ISI,fast
0.532763989,9,fish2_f20,f20,20ISI,fast
0.560317007,10,fish2_f20,f20,20ISI,fast
1,1,fish3_f20,f20,20ISI,fast
0.674471009,2,fish3_f20,f20,20ISI,fast
0.565404542,3,fish3_f20,f20,20ISI,fast
0.460566887,4,fish3_f20,f20,20ISI,fast
0.459091972,5,fish3_f20,f20,20ISI,fast
0.479146567,6,fish3_f20,f20,20ISI,fast
0.458848204,7,fish3_f20,f20,20ISI,fast
0.39712705,8,fish3_f20,f20,20ISI,fast
0.435201762,9,fish3_f20,f20,20ISI,fast
0.461070291,10,fish3_f20,f20,20ISI,fast
1,1,fish4_f20,f20,20ISI,fast
0.693299977,2,fish4_f20,f20,20ISI,fast
0.65561635,3,fish4_f20,f20,20ISI,fast
0.642540752,4,fish4_f20,f20,20ISI,fast
0.544401727,5,fish4_f20,f20,20ISI,fast
0.521903193,6,fish4_f20,f20,20ISI,fast
0.579535745,7,fish4_f20,f20,20ISI,fast
0.509793376,8,fish4_f20,f20,20ISI,fast
0.523149695,9,fish4_f20,f20,20ISI,fast
0.584912381,10,fish4_f20,f20,20ISI,fast
1,1,fish5_f20,f20,20ISI,fast
0.636010612,2,fish5_f20,f20,20ISI,fast
0.505212882,3,fish5_f20,f20,20ISI,fast
0.571064511,4,fish5_f20,f20,20ISI,fast
0.423734549,5,fish5_f20,f20,20ISI,fast
0.443447457,6,fish5_f20,f20,20ISI,fast
0.520388953,7,fish5_f20,f20,20ISI,fast
0.383264517,8,fish5_f20,f20,20ISI,fast
0.362016885,9,fish5_f20,f20,20ISI,fast
0.54101728,10,fish5_f20,f20,20ISI,fast
1,1,fish6_f20,f20,20ISI,fast
0.70870221,2,fish6_f20,f20,20ISI,fast
0.754334163,3,fish6_f20,f20,20ISI,fast
0.695921857,4,fish6_f20,f20,20ISI,fast
0.602718775,5,fish6_f20,f20,20ISI,fast
0.60402475,6,fish6_f20,f20,20ISI,fast
0.544035223,7,fish6_f20,f20,20ISI,fast
0.695137571,8,fish6_f20,f20,20ISI,fast
0.505742245,9,fish6_f20,f20,20ISI,fast
0.550836952,10,fish6_f20,f20,20ISI,fast
1,1,fish7_f20,f20,20ISI,fast
0.777024246,2,fish7_f20,f20,20ISI,fast
0.553881156,3,fish7_f20,f20,20ISI,fast
0.689844065,4,fish7_f20,f20,20ISI,fast
0.500933673,5,fish7_f20,f20,20ISI,fast
0.552061828,6,fish7_f20,f20,20ISI,fast
