resp,loom,fishID,cond,ISI,speed
0.809402869,1,fish1_f20,f20,20ISI,fast
0.613764108,2,fish1_f20,f20,20ISI,fast
0.45329039,3,fish1_f20,f20,20ISI,fast
0.442171764,4,fish1_f20,f20,20ISI,fast
0.388956527,5,fish1_f20,f20,20ISI,fast
0.491553746,6,fish1_f20,f20,20ISI,fast
0.441255433,7,fish1_f20,f20,20ISI,fast
0.440405841,8,fish1_f20,f20,20ISI,fast
0.473331423,9,fish1_f20,f20,20ISI,fast
0.411346955,10,fish1_f20,f20,20ISI,fast
1.178454455,1,fish2_f20,f20,20ISI,fast
0.765534578,2,fish2_f20,f20,20ISI,fast
0.41778386,3,fish2_f20,f20,20ISI,fast
0.585954914,4,fish2_f20,f20,20ISI,fast
0.499455126,5,fish2_f20,f20,20ISI,fast
0.573530774,6,fish2_f20,f20,20ISI,fast
0.688286059,7,fish2_f20,f20,20ISI,fast
0.583893458,8,fish2_f20,f20,20ISI,fast
0.401306959,9,fish2_f20,f20,20ISI,fast
0.497231212,10,fish2_f20,f20,20ISI,fast
0.709857802,1,fish3_f20,f20,20ISI,fast
0.635562934,2,fish3_f20,f20,20ISI,fast
0.491808993,3,fish3_f20,f20,20ISI,fast
0.515978217,4,fish3_f20,f20,20ISI,fast
0.486475959,5,fish3_f20,f20,20ISI,fast
0.560031129,6,fish3_f20,f20,20ISI,fast
0.494667378,7,fish3_f20,f20,20ISI,fast
0.420354093,8,fish3_f20,f20,20ISI,fast
0.453214247,9,fish3_f20,f20,20ISI,fast
0.448488608,10,fish3_f20,f20,20ISI,fast
0.91131857,1,fish4_f20,f20,20ISI,fast
0.665746755,2,fish4_f20,f20,20ISI,fast
0.607765141,3,fish4_f20,f20,20ISI,fast
0.546842654,4,fish4_f20,f20,20ISI,fast
0.593014219,5,fish4_f20,f20,20ISI,fast
0.560327306,6,fish4_f20,f20,20ISI,fast
0.527604471,7,fish4_f20,f20,20ISI,fast
0.560109576,8,fish4_f20,f20,20ISI,fast
0.541221604,9,fish4_f20,f20,20ISI,fast
0.507048616,10,fish4_f20,f20,20ISI,fast
1.106102732,1,fish5_f20,f20,20ISI,fast
0.636743473,2,fish5_f20,f20,20ISI,fast
