loom,response,speed,isi
1,1,fast,short
2,0.46337413,fast,short
3,0.318388307,fast,short
4,0.24651316,fast,short
5,0.230371121,fast,short
6,0.231329336,fast,short
7,0.197577899,fast,short
8,0.193022604,fast,short
9,0.174481445,fast,short
10,0.178183561,fast,short
1,1,fast,long
2,0.497606522,fast,long
3,0.394757745,fast,long
4,0.322205963,fast,long
5,0.318123952,fast,long
6,0.265312474,fast,long
7,0.251759431,fast,long
8,0.236077726,fast,long
9,0.178699202,fast,long
10,0.205269932,fast,long
1,1,slow,short
2,0.464964145,slow,short
3,0.291142413,slow,short
4,0.243049744,slow,short
5,0.18273232,slow,short
6,0.199231513,slow,short
7,0.163013356,slow,short
8,0.17981308,slow,short
9,0.149553453,slow,short
10,0.170138922,slow,short
1,1,slow,long
2,0.471274366,slow,long
3,0.349146788,slow,long
4,0.302200163,slow,long
5,0.246894848,slow,long
6,0.231680336,slow,long
7,0.236001078,slow,long
8,0.239601696,slow,long
9,0.201931697,slow,long
10,0.197323547,slow,long
