resp,loom,fishID,cond,ISI,speed
1,1,fish1_f20,f20,20ISI,fast
0.558484271,2,fish1_f20,f20,20ISI,fast
0.391393526,3,fish1_f20,f20,20ISI,fast
0.273901605,4,fish1_f20,f20,20ISI,fast
0.219500779,5,fish1_f20,f20,20ISI,fast
0.21320515,6,fish1_f20,f20,20ISI,fast
0.173217123,7,fish1_f20,f20,20ISI,fast
0.103422332,8,fish1_f20,f20,20ISI,fast
0.15931601,9,fish1_f20,f20,20ISI,fast
0.133004873,10,fish1_f20,f20,20ISI,fast
1,1,fish2_f20,f20,20ISI,fast
0.422052204,2,fish2_f20,f20,20ISI,fast
0.363844755,3,fish2_f20,f20,20ISI,fast
0.248387684,4,fish2_f20,f20,20ISI,fast
0.261148289,5,fish2_f20,f20,20ISI,fast
0.229424276,6,fish2_f20,f20,20ISI,fast
0.194637257,7,fish2_f20,f20,20ISI,fast
0.25113946,8,fish2_f20,f20,20ISI,fast
0.16060633,9,fish2_f20,f20,20ISI,fast
0.221170447,10,fish2_f20,f20,20ISI,fast
1,1,fish3_f20,f20,20ISI,fast
0.665839301,2,fish3_f20,f20,20ISI,fast
0.426370262,3,fish3_f20,f20,20ISI,fast
0.250296501,4,fish3_f20,f20,20ISI,fast
0.227281814,5,fish3_f20,f20,20ISI,fast
0.190530472,6,fish3_f20,f20,20ISI,fast
0.195123196,7,fish3_f20,f20,20ISI,fast
0.213677828,8,fish3_f20,f20,20ISI,fast
0.19577639,9,fish3_f20,f20,20ISI,fast
0.178324248,10,fish3_f20,f20,20ISI,fast
1,1,fish4_f20,f20,20ISI,fast
0.438059483,2,fish4_f20,f20,20ISI,fast
0.36034592,3,fish4_f20,f20,20ISI,fast
0.356680719,4,fish4_f20,f20,20ISI,fast
0.311132836,5,fish4_f20,f20,20ISI,fast
0.276654214,6,fish4_f20,f20,20ISI,fast
0.230425083,7,fish4_f20,f20,20ISI,fast
0.29038662,8,fish4_f20,f20,20ISI,fast
0.245778635,9,fish4_f20,f20,20ISI,fast
0.206506941,10,fish4_f20,f20,20ISI,fast
1,1,fish5_f20,f20,20ISI,fast
0.193043697,2,fish5_f20,f20,20ISI,fast
0.144791921,3,fish5_f20,f20,20ISI,fast
0.096909493,4,fish5_f20,f20,20ISI,fast
0.142416532,5,fish5_f20,f20,20ISI,fast
0.145054935,6,fish5_f20,f20,20ISI,fast
0.124192695,7,fish5_f20,f20,20ISI,fast
0.107563087,8,fish5_f20,f20,20ISI,fast
0.084218465,9,fish5_f20,f20,20ISI,fast
0.12312614,10,fish5_f20,f20,20ISI,fast
1,1,fish6_f20,f20,20ISI,fast
