resp,loom,fishID,cond,ISI,speed
0.505628911,1,fish1_f20,f20,20ISI,fast
0.175738718,2,fish1_f20,f20,20ISI,fast
0.158135862,3,fish1_f20,f20,20ISI,fast
0.086710105,4,fish1_f20,f20,20ISI,fast
0.088215189,5,fish1_f20,f20,20ISI,fast
0.107235167,6,fish1_f20,f20,20ISI,fast
0.088822294,7,fish1_f20,f20,20ISI,fast
0.115705133,8,fish1_f20,f20,20ISI,fast
0.087425537,9,fish1_f20,f20,20ISI,fast
0.127234317,10,fish1_f20,f20,20ISI,fast
0.398768895,1,fish2_f20,f20,20ISI,fast
0.222747231,2,fish2_f20,f20,20ISI,fast
0.149105399,3,fish2_f20,f20,20ISI,fast
0.174706423,4,fish2_f20,f20,20ISI,fast
0.139877192,5,fish2_f20,f20,20ISI,fast
0.153360205,6,fish2_f20,f20,20ISI,fast
0.124485638,7,fish2_f20,f20,20ISI,fast
0.112583551,8,fish2_f20,f20,20ISI,fast
0.108761144,9,fish2_f20,f20,20ISI,fast
0.143189589,10,fish2_f20,f20,20ISI,fast
0.424574985,1,fish3_f20,f20,20ISI,fast
0.209309919,2,fish3_f20,f20,20ISI,fast
0.143527377,3,fish3_f20,f20,20ISI,fast
0.158964698,4,fish3_f20,f20,20ISI,fast
0.152854994,5,fish3_f20,f20,20ISI,fast
0.13546057,6,fish3_f20,f20,20ISI,fast
0.138673686,7,fish3_f20,f20,20ISI,fast
0.126145899,8,fish3_f20,f20,20ISI,fast
0.121080916,9,fish3_f20,f20,20ISI,fast
0.189726947,10,fish3_f20,f20,20ISI,fast
0.40324902,1,fish4_f20,f20,20ISI,fast
0.200728496,2,fish4_f20,f20,20ISI,fast
0.163733333,3,fish4_f20,f20,20ISI,fast
0.190242974,4,fish4_f20,f20,20ISI,fast
0.157111839,5,fish4_f20,f20,20ISI,fast
0.184364524,6,fish4_f20,f20,20ISI,fast
0.149998334,7,fish4_f20,f20,20ISI,fast
0.143993488,8,fish4_f20,f20,20ISI,fast
0.16364631,9,fish4_f20,f20,20ISI,fast
0.136604602,10,fish4_f20,f20,20ISI,fast
0.543941942,1,fish5_f20,f20,20ISI,fast
0.146089947,2,fish5_f20,f20,20ISI,fast
0.073520175,3,fish5_f20,f20,20ISI,fast
0.077021631,4,fish5_f20,f20,20ISI,fast
0.09044309,5,fish5_f20,f20,20ISI,fast
0.105630227,6,fish5_f20,f20,20ISI,fast
0.073935422,7,fish5_f20,f20,20ISI,fast
0.084735933,8,fish5_f20,f20,20ISI,fast
0.098595969,9,fish5_f20,f20,20ISI,fast
0.02961326,10,fish5_f20,f20,20ISI,fast
0.337412376,1,fish6_f20,f20,20ISI,fast
0.184329795,2,fish6_f20,f20,20ISI,fast
0.150472124,3,fish6_f20,f20,20ISI,fast
0.195177119,4,fish6_f20,f20,20ISI,fast
0.170289087,5,fish6_f20,f20,20ISI,fast
0.171586352,6,fish6_f20,f20,20ISI,fast
0.149666349,7,fish6_f20,f20,20ISI,fast
0.148774013,8,fish6_f20,f20,20ISI,fast
0.131836292,9,fish6_f20,f20,20ISI,fast
0.103902358,10,fish6_f20,f20,20ISI,fast
0.343397555,1,fish7_f20,f20,20ISI,fast
0.113082563,2,fish7_f20,f20,20ISI,fast
0.158993839,3,fish7_f20,f20,20ISI,fast
0.133231939,4,fish7_f20,f20,20ISI,fast
0.037905484,5,fish7_f20,f20,20ISI,fast
0.144064483,6,fish7_f20,f20,20ISI,fast
0.104836186,7,fish7_f20,f20,20ISI,fast
0.147130362,8,fish7_f20,f20,20ISI,fast
0.060451293,9,fish7_f20,f20,20ISI,fast
0.113782378,10,fish7_f20,f20,20ISI,fast
0.387015593,1,fish8_f20,f20,20ISI,fast
0.220218117,2,fish8_f20,f20,20ISI,fast
0.132881628,3,fish8_f20,f20,20ISI,fast
0.128422259,4,fish8_f20,f20,20ISI,fast
0.123459425,5,fish8_f20,f20,20ISI,fast
0.124203105,6,fish8_f20,f20,20ISI,fast
0.089805441,7,fish8_f20,f20,20ISI,fast
0.143418063,8,fish8_f20,f20,20ISI,fast
0.057970645,9,fish8_f20,f20,20ISI,fast
0.097390355,10,fish8_f20,f20,20ISI,fast
0.254519451,1,fish9_f20,f20,20ISI,fast
0.165459295,2,fish9_f20,f20,20ISI,fast
0.101987873,3,fish9_f20,f20,20ISI,fast
0.113929388,4,fish9_f20,f20,20ISI,fast
0.143311797,5,fish9_f20,f20,20ISI,fast
0.125487918,6,fish9_f20,f20,20ISI,fast
0.117929028,7,fish9_f20,f20,20ISI,fast
0.098600158,8,fish9_f20,f20,20ISI,fast
0.093805066,9,fish9_f20,f20,20ISI,fast
0.130928691,10,fish9_f20,f20,20ISI,fast
0.566370751,1,fish10_f20,f20,20ISI,fast
0.189607099,2,fish10_f20,f20,20ISI,fast
0.144514925,3,fish10_f20,f20,20ISI,fast
