loom,response ,genotype
1,0.730769231,wt
2,0.307692308,wt
3,0.307692308,wt
4,0.269230769,wt
5,0.192307692,wt
6,0.307692308,wt
7,0.153846154,wt
8,0.153846154,wt
9,0.115384615,wt
10,0.115384615,wt
1,0.7,hets
2,0.516666667,hets
3,0.35,hets
4,0.3,hets
5,0.233333333,hets
6,0.216666667,hets
7,0.166666667,hets
8,0.166666667,hets
9,0.2,hets
10,0.116666667,hets
1,0.666666667,fmr1
2,0.619047619,fmr1
3,0.452380952,fmr1
4,0.357142857,fmr1
5,0.166666667,fmr1
6,0.261904762,fmr1
7,0.19047619,fmr1
8,0.166666667,fmr1
9,0.19047619,fmr1
10,0.166666667,fmr1
