fishID,loom,response,genotype
1,1,1,wt
1,2,1,wt
1,3,1,wt
1,4,0,wt
1,5,1,wt
1,6,1,wt
1,7,1,wt
1,8,1,wt
1,9,0,wt
1,10,0,wt
1,11,1,wt
1,12,1,wt
1,13,1,wt
1,14,1,wt
1,15,0,wt
1,16,0,wt
1,17,1,wt
1,18,0,wt
1,19,0,wt
1,20,0,wt
2,1,1,wt
2,2,0,wt
2,3,0,wt
2,4,1,wt
2,5,0,wt
2,6,0,wt
2,7,0,wt
2,8,0,wt
2,9,0,wt
2,10,0,wt
2,11,0,wt
2,12,0,wt
2,13,0,wt
2,14,0,wt
2,15,0,wt
2,16,0,wt
2,17,0,wt
2,18,0,wt
2,19,0,wt
2,20,0,wt
3,1,1,wt
3,2,0,wt
3,3,0,wt
3,4,1,wt
3,5,1,wt
3,6,1,wt
3,7,0,wt
3,8,0,wt
3,9,1,wt
3,10,0,wt
3,11,1,wt
3,12,1,wt
3,13,0,wt
3,14,0,wt
3,15,0,wt
3,16,0,wt
3,17,0,wt
3,18,0,wt
3,19,0,wt
3,20,0,wt
4,1,1,wt
4,2,1,wt
4,3,1,wt
4,4,1,wt
4,5,1,wt
4,6,1,wt
4,7,1,wt
4,8,0,wt
4,9,1,wt
4,10,1,wt
4,11,1,wt
4,12,1,wt
4,13,1,wt
4,14,1,wt
4,15,1,wt
4,16,1,wt
4,17,0,wt
4,18,1,wt
4,19,1,wt
4,20,0,wt
5,1,1,wt
5,2,1,wt
5,3,1,wt
5,4,0,wt
5,5,0,wt
5,6,0,wt
5,7,0,wt
5,8,1,wt
5,9,0,wt
5,10,0,wt
5,11,0,wt
5,12,0,wt
5,13,0,wt
5,14,0,wt
5,15,0,wt
5,16,1,wt
5,17,1,wt
5,18,0,wt
5,19,0,wt
5,20,0,wt
6,1,1,wt
6,2,1,wt
6,3,1,wt
6,4,0,wt
6,5,0,wt
6,6,0,wt
6,7,0,wt
6,8,0,wt
6,9,0,wt
6,10,0,wt
6,11,0,wt
6,12,0,wt
6,13,1,wt
6,14,0,wt
6,15,0,wt
6,16,0,wt
6,17,0,wt
6,18,0,wt
6,19,0,wt
6,20,0,wt
7,1,1,wt
7,2,0,wt
7,3,1,wt
7,4,0,wt
7,5,0,wt
7,6,0,wt
7,7,0,wt
7,8,0,wt
7,9,0,wt
7,10,0,wt
7,11,0,wt
7,12,0,wt
7,13,0,wt
7,14,0,wt
7,15,0,wt
7,16,0,wt
7,17,0,wt
7,18,0,wt
7,19,0,wt
7,20,0,wt
8,1,1,wt
8,2,0,wt
8,3,0,wt
8,4,0,wt
8,5,0,wt
8,6,0,wt
8,7,0,wt
8,8,0,wt
8,9,0,wt
8,10,0,wt
8,11,0,wt
8,12,0,wt
8,13,0,wt
8,14,0,wt
8,15,0,wt
8,16,0,wt
8,17,0,wt
8,18,0,wt
8,19,1,wt
8,20,0,wt
9,1,1,wt
9,2,0,wt
9,3,0,wt
9,4,0,wt
9,5,0,wt
9,6,1,wt
9,7,0,wt
9,8,0,wt
9,9,0,wt
9,10,0,wt
9,11,0,wt
9,12,0,wt
9,13,0,wt
9,14,0,wt
9,15,0,wt
9,16,0,wt
9,17,0,wt
9,18,0,wt
9,19,0,wt
9,20,0,wt
10,1,1,wt
10,2,0,wt
10,3,1,wt
10,4,0,wt
10,5,0,wt
10,6,0,wt
10,7,0,wt
10,8,0,wt
10,9,0,wt
10,10,0,wt
10,11,0,wt
10,12,0,wt
10,13,0,wt
10,14,0,wt
10,15,0,wt
10,16,0,wt
10,17,0,wt
10,18,0,wt
10,19,0,wt
10,20,0,wt
11,1,1,wt
11,2,1,wt
11,3,0,wt
11,4,0,wt
11,5,0,wt
11,6,0,wt
11,7,0,wt
11,8,0,wt
11,9,0,wt
11,10,0,wt
11,11,0,wt
11,12,0,wt
11,13,0,wt
11,14,0,wt
11,15,1,wt
11,16,0,wt
11,17,0,wt
11,18,0,wt
11,19,0,wt
11,20,0,wt
12,1,1,wt
12,2,0,wt
12,3,1,wt
12,4,0,wt
12,5,0,wt
12,6,0,wt
12,7,0,wt
12,8,0,wt
12,9,0,wt
12,10,0,wt
12,11,1,wt
12,12,0,wt
12,13,1,wt
12,14,0,wt
12,15,0,wt
12,16,0,wt
12,17,0,wt
12,18,0,wt
12,19,0,wt
12,20,0,wt
13,1,0,wt
13,2,0,wt
13,3,0,wt
13,4,0,wt
13,5,0,wt
13,6,0,wt
13,7,0,wt
13,8,0,wt
13,9,0,wt
13,10,0,wt
13,11,0,wt
13,12,0,wt
13,13,0,wt
13,14,0,wt
13,15,0,wt
13,16,0,wt
13,17,0,wt
13,18,0,wt
13,19,0,wt
13,20,0,wt
14,1,0,wt
14,2,0,wt
14,3,0,wt
14,4,1,wt
14,5,1,wt
14,6,1,wt
14,7,0,wt
14,8,1,wt
14,9,1,wt
14,10,1,wt
14,11,1,wt
14,12,1,wt
14,13,0,wt
14,14,0,wt
14,15,0,wt
14,16,0,wt
14,17,0,wt
14,18,0,wt
14,19,0,wt
14,20,0,wt
15,1,1,wt
15,2,0,wt
15,3,0,wt
15,4,0,wt
15,5,0,wt
15,6,0,wt
15,7,0,wt
15,8,0,wt
15,9,0,wt
15,10,0,wt
15,11,0,wt
15,12,1,wt
15,13,0,wt
15,14,0,wt
15,15,0,wt
15,16,0,wt
15,17,0,wt
15,18,0,wt
15,19,0,wt
15,20,0,wt
16,1,1,wt
16,2,0,wt
16,3,0,wt
16,4,1,wt
16,5,0,wt
16,6,1,wt
16,7,0,wt
16,8,0,wt
16,9,0,wt
16,10,0,wt
16,11,0,wt
16,12,0,wt
16,13,0,wt
16,14,0,wt
16,15,0,wt
16,16,0,wt
16,17,0,wt
16,18,0,wt
16,19,0,wt
16,20,0,wt
17,1,0,wt
