fishID,loom,response,genotype
1,1,1,wt
1,2,1,wt
1,3,1,wt
1,4,0,wt
1,5,1,wt
2,1,1,wt
2,2,0,wt
2,3,0,wt
2,4,1,wt
2,5,0,wt
3,1,1,wt
3,2,0,wt
3,3,0,wt
3,4,1,wt
3,5,1,wt
4,1,1,wt
4,2,1,wt
4,3,1,wt
4,4,1,wt
4,5,1,wt
5,1,1,wt
5,2,1,wt
5,3,1,wt
5,4,0,wt
5,5,0,wt
6,1,1,wt
6,2,1,wt
6,3,1,wt
6,4,0,wt
6,5,0,wt
7,1,1,wt
7,2,0,wt
7,3,1,wt
7,4,0,wt
7,5,0,wt
8,1,1,wt
8,2,0,wt
8,3,0,wt
8,4,0,wt
8,5,0,wt
9,1,1,wt
9,2,0,wt
9,3,0,wt
9,4,0,wt
9,5,0,wt
10,1,1,wt
10,2,0,wt
10,3,1,wt
10,4,0,wt
10,5,0,wt
11,1,1,wt
11,2,1,wt
11,3,0,wt
11,4,0,wt
11,5,0,wt
12,1,1,wt
12,2,0,wt
12,3,1,wt
12,4,0,wt
12,5,0,wt
13,1,0,wt
13,2,0,wt
13,3,0,wt
13,4,0,wt
13,5,0,wt
14,1,0,wt
14,2,0,wt
14,3,0,wt
14,4,1,wt
14,5,1,wt
15,1,1,wt
15,2,0,wt
15,3,0,wt
15,4,0,wt
15,5,0,wt
16,1,1,wt
16,2,0,wt
16,3,0,wt
16,4,1,wt
16,5,0,wt
17,1,0,wt
17,2,0,wt
17,3,0,wt
17,4,0,wt
17,5,0,wt
18,1,1,wt
18,2,0,wt
18,3,0,wt
18,4,0,wt
18,5,0,wt
19,1,1,wt
19,2,0,wt
19,3,0,wt
19,4,0,wt
19,5,0,wt
20,1,1,wt
20,2,0,wt
20,3,0,wt
20,4,0,wt
20,5,0,wt
21,1,0,wt
21,2,0,wt
21,3,0,wt
21,4,0,wt
21,5,0,wt
22,1,1,wt
22,2,1,wt
22,3,0,wt
22,4,1,wt
22,5,0,wt
23,1,0,wt
23,2,0,wt
23,3,0,wt
23,4,0,wt
23,5,0,wt
24,1,0,wt
24,2,0,wt
24,3,0,wt
24,4,0,wt
24,5,0,wt
25,1,0,wt
25,2,1,wt
25,3,1,wt
25,4,1,wt
25,5,1,wt
26,1,1,wt
26,2,1,wt
26,3,0,wt
26,4,0,wt
26,5,0,wt
27,1,0,mut
27,2,0,mut
27,3,1,mut
27,4,1,mut
27,5,0,mut
28,1,0,mut
28,2,1,mut
28,3,0,mut
28,4,0,mut
28,5,0,mut
29,1,0,mut
29,2,0,mut
29,3,0,mut
29,4,0,mut
29,5,0,mut
30,1,1,mut
30,2,0,mut
30,3,0,mut
30,4,0,mut
30,5,0,mut
31,1,1,mut
31,2,1,mut
31,3,1,mut
31,4,0,mut
31,5,0,mut
32,1,1,mut
32,2,1,mut
32,3,1,mut
32,4,1,mut
32,5,1,mut
33,1,0,mut
33,2,1,mut
33,3,0,mut
33,4,0,mut
33,5,0,mut
34,1,1,mut
34,2,1,mut
34,3,0,mut
34,4,0,mut
34,5,1,mut
35,1,0,mut
35,2,0,mut
35,3,0,mut
35,4,0,mut
35,5,0,mut
36,1,0,mut
36,2,1,mut
36,3,0,mut
36,4,0,mut
36,5,0,mut
37,1,1,mut
37,2,1,mut
37,3,1,mut
37,4,1,mut
37,5,1,mut
38,1,1,mut
38,2,1,mut
38,3,0,mut
38,4,0,mut
38,5,0,mut
39,1,1,mut
39,2,1,mut
39,3,1,mut
39,4,1,mut
39,5,0,mut
40,1,1,mut
40,2,1,mut
40,3,1,mut
40,4,1,mut
40,5,0,mut
41,1,1,mut
41,2,0,mut
41,3,1,mut
41,4,1,mut
41,5,0,mut
42,1,0,mut
42,2,0,mut
42,3,0,mut
42,4,0,mut
42,5,0,mut
43,1,1,mut
43,2,1,mut
43,3,1,mut
43,4,0,mut
43,5,0,mut
44,1,1,mut
44,2,0,mut
44,3,0,mut
44,4,0,mut
44,5,0,mut
45,1,1,mut
45,2,1,mut
45,3,1,mut
45,4,1,mut
45,5,0,mut
46,1,1,mut
46,2,0,mut
46,3,0,mut
46,4,0,mut
46,5,0,mut
47,1,1,mut
47,2,1,mut
47,3,0,mut
47,4,0,mut
47,5,0,mut
48,1,0,mut
48,2,0,mut
48,3,0,mut
48,4,0,mut
48,5,0,mut
49,1,1,mut
49,2,0,mut
49,3,0,mut
49,4,1,mut
49,5,0,mut
50,1,0,mut
50,2,1,mut
50,3,0,mut
50,4,0,mut
50,5,0,mut
51,1,1,mut
51,2,1,mut
51,3,1,mut
51,4,1,mut
51,5,0,mut
52,1,1,mut
52,2,1,mut
52,3,1,mut
52,4,1,mut
52,5,1,mut
53,1,1,mut
53,2,0,mut
53,3,0,mut
53,4,0,mut
53,5,0,mut
54,1,0,mut
54,2,1,mut
54,3,1,mut
54,4,0,mut
54,5,0,mut
55,1,1,mut
55,2,1,mut
55,3,1,mut
55,4,0,mut
55,5,0,mut
56,1,1,mut
56,2,1,mut
56,3,0,mut
56,4,0,mut
56,5,0,mut
57,1,0,mut
57,2,0,mut
57,3,1,mut
57,4,0,mut
57,5,1,mut
58,1,1,mut
58,2,1,mut
58,3,0,mut
58,4,0,mut
58,5,0,mut
59,1,1,mut
59,2,1,mut
59,3,1,mut
59,4,1,mut
59,5,0,mut
60,1,1,mut
60,2,1,mut
60,3,1,mut
60,4,1,mut
60,5,0,mut
61,1,0,mut
61,2,0,mut
61,3,0,mut
61,4,0,mut
61,5,0,mut
62,1,1,mut
62,2,0,mut
62,3,1,mut
62,4,0,mut
62,5,0,mut
63,1,1,mut
63,2,1,mut
63,3,0,mut
63,4,0,mut
63,5,0,mut
64,1,0,mut
64,2,0,mut
64,3,0,mut
64,4,1,mut
64,5,0,mut
65,1,0,mut
