loom,WTp,HetsEscap,Fmr1Escap,HetsN,Fmr1N
1,0.730769231,42,28,60,42
2,0.307692308,31,26,60,42
3,0.307692308,21,19,60,42
4,0.269230769,18,15,60,42
5,0.192307692,14,7,60,42
6,0.307692308,13,11,60,42
7,0.153846154,10,8,60,42
8,0.153846154,10,7,60,42
9,0.115384615,12,8,60,42
10,0.115384615,7,7,60,42
11,0.346153846,26,20,60,42
12,0.307692308,14,15,60,42
13,0.153846154,11,8,60,42
14,0.115384615,6,8,60,42
15,0.076923077,6,5,60,42
16,0.076923077,5,7,60,42
17,0.076923077,4,3,60,42
18,0.038461538,4,3,60,42
19,0.076923077,5,4,60,42
20,0,3,6,60,42
